Time_Step_Min,DNI_Irradiance,Inlet_Temp,Current_Outlet_Temp,Previous_Salt_Flow,Optimal_Flow_Target
2175,839.3,289.28,600.0,936.5785,964.2091
2180,837.9,289.29,289.29,964.2091,924.9238
2185,836.1,290.51,600.0,924.9238,964.995
2190,833.91,290.57,290.57,964.995,924.5683
2195,831.31,290.08,600.0,924.5683,957.7878
2200,828.32,287.33,287.33,957.7878,907.344
2205,683.91,289.76,600.0,907.344,785.2294
2210,680.77,294.56,294.56,785.2294,756.7107
2215,677.32,284.43,600.0,756.7107,762.3265
2220,673.54,291.74,291.74,762.3265,740.4265
2225,669.45,292.11,600.0,740.4265,774.7313
2230,665.03,287.28,287.28,774.7313,718.7201
2235,660.3,289.06,600.0,718.7201,755.8298
2240,655.25,288.0,288.0,755.8298,709.26
2245,649.89,293.71,600.0,709.26,756.434
2250,644.22,292.21,292.21,756.434,707.2434
2255,638.25,292.3,600.0,707.2434,738.5671
2260,631.97,290.24,290.24,738.5671,687.892
2265,625.39,292.62,600.0,687.892,724.4416
2270,616.83,289.98,289.98,724.4416,669.5978
2275,609.68,292.72,600.0,669.5978,706.2089
2280,602.23,289.7,289.7,706.2089,651.9235
2285,594.51,288.64,600.0,651.9235,678.2149
2290,586.5,293.62,293.62,678.2149,642.7482
2295,578.2,289.96,600.0,642.7482,662.1996
2300,569.64,288.2,288.2,662.1996,610.6444
2305,560.8,288.18,600.0,610.6444,638.1594
2310,551.7,288.19,288.19,638.1594,589.8364
2315,542.33,291.69,600.0,589.8364,624.6908
2320,532.71,289.8,289.8,624.6908,571.1799
2325,597.19,294.6,600.0,571.1799,696.3255
2330,585.62,292.37,292.37,696.3255,638.7786
2335,573.78,290.51,600.0,638.7786,658.4573
2340,561.66,292.81,292.81,658.4573,611.58
2345,549.27,289.01,600.0,611.58,626.3769
2350,536.63,286.29,286.29,626.3769,568.4886
2355,523.72,288.02,600.0,568.4886,595.0075
2360,510.57,290.29,290.29,595.0075,546.373
2365,497.18,289.55,600.0,546.373,567.162
2370,483.54,291.65,291.65,567.162,517.3882
2375,469.68,289.75,600.0,517.3882,535.4575
2380,396.59,291.5,291.5,535.4575,415.1956
2385,384.14,293.0,600.0,415.1956,441.0643
2390,371.51,289.74,289.74,441.0643,383.345
2395,358.7,291.11,600.0,383.345,408.361
2400,345.72,286.49,286.49,408.361,349.1845
2405,332.57,289.75,600.0,349.1845,376.1392
2410,319.27,287.54,287.54,376.1392,319.9471
2415,305.81,290.29,600.0,319.9471,345.585
2420,292.21,290.47,290.47,345.585,291.7789
2425,278.47,290.47,600.0,291.7789,313.6873
2430,264.6,289.04,289.04,313.6873,258.1927
2435,262.85,294.6,600.0,258.1927,300.0571
2440,248.04,287.46,287.46,300.0571,237.6019
2445,233.12,287.34,600.0,237.6019,257.9965
2450,218.08,293.31,293.31,257.9965,207.3663
2455,202.94,288.59,600.0,207.3663,223.7785
2460,187.7,288.11,288.11,223.7785,168.3074
2465,172.38,294.61,600.0,168.3074,192.8816
